"","GeneSymbol","Initially.Assigned.Module.Color","KMEturquoise","KMEblack","KMEpink","KMEbrown","KMEblue","KMEgreen","KMEyellow","KMEmagenta","KMEred","KMEgrey"
"STAB1","STAB1","grey",-0.0238868588743049,0.0172739287343579,0.0169186086878801,0.0592848657113502,0.0478687399210237,0.054269773412181,0.0152978509433317,-0.0024284107836815,0.0190425428789293,0.0409294319545601
"HLA-DQB1","HLA-DQB1","grey",-0.0183973574707798,0.0206945993870454,-0.00832949555011292,0.0442840875950254,0.0213774806424989,-0.000560765738849413,0.0495394465359225,0.206744056021007,0.003124952728938,0.0578418581300741
"CHI3L1","CHI3L1","brown",-0.111874918463054,0.0204659097146737,0.077394590961272,0.136428248394119,0.0860178212916204,0.26953397629813,0.00417248082813587,-0.0165911433337311,0.061430537483882,0.0892741725813597
"IGHM","IGHM","grey",0.0353670394761937,0.00590557052484736,-0.0232546743947986,-0.000824981039509237,-0.0381606832363247,-0.00211538112941925,0.0116824365935581,0.0184489725308263,0.0061826237615845,0.045357177457644
"SERPINB2","SERPINB2","grey",-0.00473081851419723,0.00310478159294349,0.00331917658000824,0.0193489298051261,0.00660606783517431,0.0269547832143252,0.0141874197677771,-0.00273943512468536,0.00174499031799833,0.0289799012420476
"SERPINE1","SERPINE1","brown",-0.0962651033692505,-0.00922711303711005,0.172780632597143,0.208331952314812,0.168355754669562,0.193261956002559,0.0373931423302654,-0.00721121768714343,0.0679797776229668,0.0761142684640067
"MT1X","MT1X","brown",-0.0917309322048278,0.0591966645608827,0.163809554349682,0.176916367708251,0.158343272171598,0.242229192951514,0.0172793400629376,-0.0229015883287428,0.0632067458367149,0.0744899346205679
"MAFB","MAFB","green",-0.0999765568470551,0.0680297074834332,0.0950965907514498,0.188460443123095,0.186484462428647,0.203374806377547,0.0854207112402588,0.00135994667242194,0.06815931262026,0.0968859526467006
"AC020656.1","AC020656.1","yellow",-0.00695219079342748,0.00413320088586054,0.01916510309987,0.0434561139280242,0.014211818852439,0.0381221963732177,0.030336376362162,0.00953580658742221,0.0285562658633578,0.0243333844803653
"MYH11","MYH11","turquoise",0.514842621384509,-0.0829363122937531,-0.278982068708679,-0.468919237345713,-0.708488573958592,-0.639049102368,-0.0886563252230427,-0.00609368824642394,-0.113522581878423,-0.223018519070115
"MITF","MITF","grey",0.0067935181933319,0.0248657965192214,-0.00239398884045212,0.0310844390264854,0.0069413796584684,-0.00480387846831143,0.0388051064036375,-0.0154646207183944,0.0123446412900891,0.0527354713154076
"PI16","PI16","blue",-0.273107428158706,0.0392030657772907,0.0770832282601906,0.362481233550621,0.535629713574767,0.149963559643141,0.129000508131195,-0.0282014372771967,0.0233626788565275,0.0638109796083979
"MROH8","MROH8","grey",0.0232001725375534,0.0162613863768205,0.0397526586839825,0.0181206421698902,-0.0026117930899284,-0.00451132357646726,0.00276294868446947,0.00414781437654571,0.0147622429435067,0.054152816219725
"GZMB","GZMB","red",0.0132380569634716,0.0192347970098721,-0.025233671394298,0.00482533945165647,-0.0310240066238089,-0.00659924655159719,0.0205004986232271,0.336019981269063,0.0466796458419934,0.00341071865938023
"CCL8","CCL8","turquoise",0.0767439533706942,-0.0156872867270621,-0.00296423111980173,-0.0130133734960065,-0.0754148577492865,-0.0486043745454067,-0.0207470697670677,-0.0104694759616293,-0.0137157923876425,0.0056735809479006
